"","Project","Text","SDG","Target"
"285","P079032","services quality varies","No map","No map.NA"
"286","P079032","formulation overly restrictive qualification evaluation criteria technical specifications procurement leads increasing complaints bidders consultants apply limited participation bidding selection processes","SDG 10","SDG 10.1"
"287","P079032","fostering tenantowner awareness rights responsibilities critical ensuring successful implementation reforms","SDG 13","SDG 13.3"
"288","P079032","alternatives considered","No map","No map.NA"
"289","P079032","freinkman lev","No map","No map.NA"
"290","P079032","frequency procurement supervision addition prior review carried moscow bank office regular post review exercises conducted","No map","No map.NA"
"291","P079032","funds disbursed payment requests piu responsible procuring consultants engineering procurement construction contractors undertaking project investments","SDG 17","SDG 17.5"
"292","P079032","funds distributed capita basis","No map","No map.NA"
"293","P079032","fundsflow flow funds agreed rosstroi key provisions legal framework implementation investment projects discussed negotiations","No map","No map.NA"
"294","P079032","fundsjlow disbursement arrangements funds flow arrangements project straightforward","No map","No map.NA"
"295","P079032","clarification registration ownership rights obligations common property urgent including spelling statutory requirements adequate building maintenance","SDG 16","SDG 16.9"
"296","P079032","project supports implementation local level reforms adopted federal level minimizing uncertainties legislation","No map","No map.NA"
"297","P079032","fz december","No map","No map.NA"
"298","P079032","procurement proposed project carried accordance world banks guidelines procurement ibrd loans ida credits dated guidelines selection employment consultants world bank borrowers dated provisions stipulated legal agreement","SDG 16","SDG 16.9"
"299","P079032","rosstroi limited capacity implement bankfinanced projects russian decided outsource fiduciary functions disbursement procurement accounting reporting external agency piu","No map","No map.NA"
"300","P079032","competitive selection municipalities specific investment subprojects determined reform phase","SDG 17","SDG 17.5"
"301","P079032","nature project specific investments identified implementation stage municipalities develop investment plans","SDG 17","SDG 17.5"
"302","P079032","performance based selection municipalities specific investment subprojects determined project","SDG 17","SDG 17.5"
